"location_id","address_primary","city","state","zip","zip_suffix","unit_count","bsl_flag","building_type_code","land_use_code","address_confidence_code","county_geoid","block_geoid","h3_9","latitude","longitude"
1296736971,"2032 DELL RANGE BLVD BLDG 2","CHEYENNE","WY","82009","4956",1,"False","E",3,"2","56021","560210014022015","8926ae79337ffff",41.16122753,-104.79136734
1296736972,"1938 DELL RANGE BLVD","CHEYENNE","WY","82009","4917",1,"False","E",3,"1","56021","560210014022015","8926ae79323ffff",41.16067647,-104.79349555
1296736973,"1958 DELL RANGE BLVD","CHEYENNE","WY","82009","4923",1,"False","E",3,"2","56021","560210014022015","8926ae79323ffff",41.16121653,-104.79262847
1296736719,"1948 DELL RANGE BLVD","CHEYENNE","WY","82009","4917",1,"False","E",3,"1","56021","560210014022015","8926ae79333ffff",41.16343775,-104.79326753
1296732965,"5232 RUE TERRE","CHEYENNE","WY","82009","5068",1,"False","E",3,"1","56021","560210014022021","8926ae79303ffff",41.16667107,-104.80123433
1296732945,"1608 PRAIRIE AVE","CHEYENNE","WY","82009","4836",1,"False","E",3,"1","56021","560210014022021","8926ae7930bffff",41.16654006,-104.80341755
1296728358,"1923 DELL RANGE BLVD","CHEYENNE","WY","82009","4940",1,"False","E",3,"1","56021","560210014022022","8926ae79323ffff",41.15981639,-104.79450666
1296728354,"2009 BLUEGRASS CIR","CHEYENNE","WY","82009","7329",1,"False","E",3,"1","56021","560210014022023","8926ae79327ffff",41.15892220,-104.79146235
1296455497,"460 RAILROAD ST BLDG 2","LANDER","WY","82520","2353",1,"False","C",6,"2","56013","560130001001023","8926b0a718bffff",42.83554696,-108.72419562
1296460461,"244 EUGENE ST","LANDER","WY","82520","2238",1,"False","E",3,"1","56013","560130001001062","8926b0a71d7ffff",42.83736614,-108.72789599
1296456053,"260 GRANDVIEW DR","LANDER","WY","82520","2928",1,"False","E",3,"2","56013","560130001001080","8926b0a7117ffff",42.83016242,-108.72138434
1296462475,"670 E MAIN ST","LANDER","WY","82520","3469",1,"False","E",3,"1","56013","560130001001085","8926b0a7107ffff",42.82613802,-108.71808401
1296454137,"2077 N 2ND ST","LANDER","WY","82520","",1,"False","E",3,"1","56013","560130001002003","8926b0a75d7ffff",42.85900631,-108.72639584
1296460122,"245 WASHAKIE ST","LANDER","WY","82520","",1,"False","E",3,"1","56013","560130002001001","8926b0a71c3ffff",42.83480689,-108.72940615
1296455592,"134 LINCOLN ST","LANDER","WY","82520","2846",1,"False","E",8,"1","56013","560130002001000","8926b0a71c7ffff",42.83389879,-108.72747395
1296459894,"201 N 4TH ST","LANDER","WY","82520","2819",1,"False","E",3,"1","56013","560130002001004","8926b0a71cbffff",42.83487889,-108.73304051
1296460132,"494 MAIN ST","LANDER","WY","82520","3106",1,"False","E",3,"1","56013","560130002001006","8926b0a71cbffff",42.83428283,-108.73468467
1296454378,"306 MAIN ST","LANDER","WY","82520","3102",1,"False","E",3,"1","56013","560130002001009","8926b0a71cfffff",42.83352276,-108.73137334
1296454311,"126 MAIN ST","LANDER","WY","82520","3126",1,"False","E",3,"1","56013","560130002001011","8926b0a71c7ffff",42.83261867,-108.72758496
1296454367,"250 MAIN ST","LANDER","WY","82520","3128",1,"False","E",8,"1","56013","560130002001010","8926b0a71cfffff",42.83325673,-108.73010622
1296454358,"285 MAIN ST","LANDER","WY","82520","3142",1,"False","E",3,"2","56013","560130002001013","8926b0a71cfffff",42.83276168,-108.73101231
1296454830,"303 MAIN ST","LANDER","WY","82520","3101",1,"False","E",3,"1","56013","560130002001014","8926b0a71cfffff",42.83290060,-108.73159536
1296628011,"325 S DURBIN ST","CASPER","WY","82601","2878",1,"False","E",3,"1","56025","560250003003004","8926a2ba8a7ffff",42.84720113,-106.32201241
1296628015,"428 S DURBIN ST","CASPER","WY","82601","2820",1,"False","E",3,"2","56025","560250003003011","8926a2ba9dbffff",42.84615702,-106.32273448
1296622014,"555 S WOLCOTT ST","CASPER","WY","82601","3155",1,"False","E",3,"1","56025","560250003003013","8926a2ba9dbffff",42.84482089,-106.32329553
